dt,WR
10.71,2.27296
10.72,2.0926
10.73,1.90772
10.74,1.7189
10.75,1.52674
10.76,1.33186
10.77,1.13489
10.78,0.936474
10.79,0.737253
10.8,0.537885
10.81,0.339033
10.82,0.14136
10.83,-0.0544644
10.84,-0.247772
10.85,-0.437894
10.86,-0.624166
10.87,-0.805927
10.88,-0.982522
10.89,-1.1533
10.9,-1.31763
10.91,-1.47489
10.92,-1.62445
10.93,-1.76571
10.94,-1.8981
10.95,-2.02105
10.96,-2.13401
10.97,-2.23644
10.98,-2.32785
10.99,-2.40775
11,-2.47569
11.01,-2.53122
11.02,-2.57395
11.03,-2.60349
11.04,-2.61951
11.05,-2.62167
11.06,-2.60969
11.07,-2.58331
11.08,-2.54232
11.09,-2.48652
11.1,-2.41575
11.11,-2.32989
11.12,-2.22886
11.13,-2.11261
11.14,-1.98111
11.15,-1.83439
11.16,-1.6725
11.17,-1.49553
11.18,-1.30361
11.19,-1.0969
11.2,-0.875602
11.21,-0.639939
11.22,-0.390181
11.23,-0.126627
11.24,0.150389
11.25,0.440503
11.26,0.743318
11.27,1.05841
11.28,1.38531
11.29,1.72354
11.3,2.07258
11.31,2.4319
11.32,2.80093
11.33,3.17908
11.34,3.56573
11.35,3.96025
11.36,4.362
11.37,4.77029
11.38,5.18444
11.39,5.60375
11.4,6.0275
11.41,6.45496
11.42,6.8854
11.43,7.31807
11.44,7.75221
11.45,8.18707
11.46,8.6219
11.47,9.05593
11.48,9.48839
11.49,9.91854
11.5,10.3456
11.51,10.7689
11.52,11.1876
11.53,11.601
11.54,12.0085
11.55,12.4092
11.56,12.8025
11.57,13.1878
11.58,13.5643
11.59,13.9315
11.6,14.2887
11.61,14.6353
11.62,14.9709
11.63,15.2947
11.64,15.6063
11.65,15.9053
11.66,16.1911
11.67,16.4633
11.68,16.7215
11.69,16.9654
11.7,17.1946
11.71,17.4088
11.72,17.6077
11.73,17.7912
11.74,17.9589
11.75,18.1107
11.76,18.2465
11.77,18.3661
11.78,18.4696
11.79,18.5569
11.8,18.628
11.81,18.6829
11.82,18.7217
11.83,18.7445
11.84,18.7514
11.85,18.7427
11.86,18.7185
11.87,18.6791
11.88,18.6247
11.89,18.5557
11.9,18.4723
11.91,18.375
11.92,18.2641
11.93,18.1399
11.94,18.0031
11.95,17.8539
11.96,17.693
11.97,17.5207
11.98,17.3376
11.99,17.1443
12,16.9413
12.01,16.7291
12.02,16.5084
12.03,16.2797
12.04,16.0437
12.05,15.8009
12.06,15.552
12.07,15.2975
12.08,15.0382
12.09,14.7746
12.1,14.5074
12.11,14.2372
12.12,13.9646
12.13,13.6902
12.14,13.4146
12.15,13.1385
12.16,12.8624
12.17,12.587
12.18,12.3127
12.19,12.0401
12.2,11.7698
12.21,11.5023
12.22,11.2381
12.23,10.9777
12.24,10.7215
12.25,10.47
12.26,10.2236
12.27,9.98271
12.28,9.7477
12.29,9.5189
12.3,9.29666
12.31,9.08125
12.32,8.87295
12.33,8.672
12.34,8.47862
12.35,8.29298
12.36,8.11524
12.37,7.94554
12.38,7.78398
12.39,7.63061
12.4,7.48549
12.41,7.34864
12.42,7.22003
12.43,7.09963
12.44,6.98736
12.45,6.88314
12.46,6.78684
12.47,6.69832
12.48,6.6174
12.49,6.54389
12.5,6.47757
12.51,6.41821
12.52,6.36553
12.53,6.31925
12.54,6.27909
12.55,6.24471
12.56,6.21578
12.57,6.19196
12.58,6.17287
12.59,6.15814
12.6,6.14737
12.61,6.14018
12.62,6.13615
12.63,6.13487
12.64,6.13591
12.65,6.13885
12.66,6.14326
12.67,6.14871
12.68,6.15478
12.69,6.16102
12.7,6.16703
12.71,6.17237
12.72,6.17663
12.73,6.1794
12.74,6.18029
12.75,6.1789
12.76,6.17486
12.77,6.16779
12.78,6.15736
12.79,6.1432
12.8,6.12502
12.81,6.1025
12.82,6.07535
12.83,6.04332
12.84,6.00614
12.85,5.9636
12.86,5.91549
12.87,5.86162
12.88,5.80184
12.89,5.73601
12.9,5.66403
12.91,5.58579
12.92,5.50124
12.93,5.41034
12.94,5.31308
12.95,5.20947
12.96,5.09955
12.97,4.98339
12.98,4.86107
12.99,4.73271
13,4.59845
13.01,4.45845
13.02,4.3129
13.03,4.16202
13.04,4.00603
13.05,3.84521
13.06,3.67981
13.07,3.51016
13.08,3.33657
13.09,3.15938
13.1,2.97895
13.11,2.79565
13.12,2.60989
13.13,2.42207
13.14,2.23261
13.15,2.04195
13.16,1.85054
13.17,1.65883
13.18,1.4673
13.19,1.27643
13.2,1.08669
13.21,0.898574
13.22,0.712577
13.23,0.529192
13.24,0.348916
13.25,0.172247
13.26,-0.000322862
13.27,-0.1683
13.28,-0.331197
13.29,-0.488532
13.3,-0.639831
13.31,-0.784628
13.32,-0.922465
13.33,-1.0529
13.34,-1.17549
13.35,-1.28983
13.36,-1.39551
13.37,-1.49214
13.38,-1.57935
13.39,-1.65678
13.4,-1.72411
13.41,-1.78101
13.42,-1.8272
13.43,-1.8624
13.44,-1.88637
13.45,-1.89888
13.46,-1.89973
13.47,-1.88875
13.48,-1.86578
13.49,-1.83071
13.5,-1.78342
13.51,-1.72386
13.52,-1.65197
13.53,-1.56775
13.54,-1.47119
13.55,-1.36234
13.56,-1.24126
13.57,-1.10804
13.58,-0.962806
13.59,-0.805695
13.6,-0.636881
13.61,-0.456562
13.62,-0.264963
13.63,-0.0623313
13.64,0.151059
13.65,0.374909
13.66,0.6089
13.67,0.852687
13.68,1.10591
13.69,1.36817
13.7,1.63907
13.71,1.91819
13.72,2.20507
13.73,2.49927
13.74,2.8003
13.75,3.10767
13.76,3.42088
13.77,3.7394
13.78,4.06273
13.79,4.3903
13.8,4.72158
13.81,5.05602
13.82,5.39305
13.83,5.7321
13.84,6.07261
13.85,6.41401
13.86,6.75573
13.87,7.09719
13.88,7.43782
13.89,7.77707
13.9,8.11436
13.91,8.44914
13.92,8.78087
13.93,9.109
13.94,9.433
13.95,9.75235
13.96,10.0665
13.97,10.3751
13.98,10.6775
13.99,10.9733
14,11.262
14.01,11.5432
14.02,11.8166
14.03,12.0816
14.04,12.338
14.05,12.5853
14.06,12.8232
14.07,13.0514
14.08,13.2696
14.09,13.4776
14.1,13.6751
14.11,13.8618
14.12,14.0376
14.13,14.2023
14.14,14.3557
14.15,14.4977
14.16,14.6282
14.17,14.7472
14.18,14.8545
14.19,14.9501
14.2,15.0341
14.21,15.1064
14.22,15.1671
14.23,15.2163
14.24,15.254
14.25,15.2803
14.26,15.2955
14.27,15.2996
14.28,15.2928
14.29,15.2753
14.3,15.2473
14.31,15.2091
14.32,15.161
14.33,15.1031
14.34,15.0358
14.35,14.9593
14.36,14.8741
14.37,14.7804
14.38,14.6786
14.39,14.569
14.4,14.452
14.41,14.328
14.42,14.1973
14.43,14.0604
14.44,13.9177
14.45,13.7696
14.46,13.6164
14.47,13.4586
14.48,13.2967
14.49,13.131
14.5,12.962
14.51,12.7901
14.52,12.6157
14.53,12.4392
14.54,12.2611
14.55,12.0817
14.56,11.9016
14.57,11.7209
14.58,11.5403
14.59,11.36
14.6,11.1805
14.61,11.0021
14.62,10.8251
14.63,10.6499
14.64,10.4769
14.65,10.3064
14.66,10.1387
14.67,9.97408
14.68,9.81284
14.69,9.65527
14.7,9.50161
14.71,9.35212
14.72,9.20702
14.73,9.06654
14.74,8.93086
14.75,8.80017
14.76,8.67465
14.77,8.55444
14.78,8.43967
14.79,8.33047
14.8,8.22695
14.81,8.12918
14.82,8.03724
14.83,7.95119
14.84,7.87107
14.85,7.7969
14.86,7.72869
14.87,7.66644
14.88,7.61014
14.89,7.55973
14.9,7.51519
14.91,7.47645
14.92,7.44344
14.93,7.41607
14.94,7.39424
14.95,7.37786
14.96,7.36679
14.97,7.36091
14.98,7.36009
14.99,7.36417
15,7.373
15.01,7.38641
15.02,7.40423
15.03,7.42629
15.04,7.4524
15.05,7.48237
15.06,7.51601
15.07,7.55312
15.08,7.59349
15.09,7.63693
15.1,7.68323
15.11,7.73217
15.12,7.78355
15.13,7.83716
15.14,7.89279
15.15,7.95023
15.16,8.00927
15.17,8.06971
15.18,8.13134
15.19,8.19396
